"Choose your city first","Сначала нужно выбрать город"
"Novaposhta info","Данные Новой Почты"
"New Novaposhta address","Задать новые данные"
"Please select the city from lists.","Пожалуйста выберите город из списка"
"Please select the city and the warehouse from lists.","Пожалуйста выберите город и склад из списков"
"Novaposhta address","Адреса Новой Почты"
"Current City","Текущий город"
"No city data found","Нет данных по городу"
"Current Warehouse","Текущий склад"
"No warehouse data found","Нет данных по складу"
"Changing Novaposhta address information will not recalculate shipping price.","Изменение адреса вручную, не вызовет пересчет цены доставки"
"Change Novaposhta data","Изменить данные Новой Почты"
"Save edited Novaposhta data","Сохранить новые данные"
"Cancel editing Novaposhta data","Отменить изменение данных"
"City","Город"
"Warehouse","Склад"
"Novaposhta Shipping","Доставка Новой почтой"
"Please wait until city data loads and choose city.","Пожалуйста подождите, пока окончание загрузки и выберите город и списка"
"Please wait while data loading...","Пожалуйста подождите, данные загружаются..."
"An error have been occurred while fetching warehouses list. Try to reload page or contact with us","Произошла ошибка при получении списка складов"
"Choose the warehouse...","Выберите склад"
"Error while retrieving data. Reload the page or contact to developer","Произошла ошибка при получении данных. Перезагрузите страницу и если не помогло, свяжитесь с разработчиком"
"Choose the city...","Выберите город"
"Firstly choose the city...","Сначала выберите город..."
"Trying to fetch form","Загружаю форму"
"An error have been occurred while fetching form. Try to reload page or contact with us","Произошла ошибка при попытке загрузки формы. Перезагрузите страницу и если не помогло, свяжитесь с нами"
"Form loaded.","Форма загружена"
"Not all elements selected","Выбраны не все элементы"
"Trying to save data to DB","Попытка сохранить изменения в базу данных"
"An error have been occurred while saving data to DB. Try to reload page or contact with us","Произошла ошибка при сохранении данных. Перезагрузите страницу и если не помогло, свяжитесь с нами"
"Successfully saved to DB","Данные успешно сохранены в базе данных"
"Your city: ","Ваш город: "
"Error occur when cities collection have been fetched","Произошла ошибка при получении коллекции городов"
"Novaposhta City","Город доставки"
"Novaposhta Warehouse","Склад Новой Почты"
"Manage Regions","Управление регионами"
"Get From API","Получить с API"
"Manage warehouses","Управление складами"
"Synchronize with API","Синхронизация с API"
"ID","Номер"
"Counterparty Ref","Идентификатор контрагента"
"Contact Property","Свойства контрагента"
"City Ref","Идентификатор города"
"City","Город"
"Manage city index","Управление индексом городов"
"Contact Property Type","Свойства типа контрагента"
"City not defined","Город не задан"
"Manage chosen third counter party","Управление выбранным контрагентом третьего лица"
"Ref","Идентификатор"
"Description","Описание"
"Firstname","Имя"
"Middlename","Отчество"
"Lastname","Фамилия"
"Phone","Телефон"
"Email","Электронная почта"
"Info","Информация"
"Contact person note","Заметки о контактном лице"
"Addresses","Адреса"
"Additional phone","Дополнительный телефон"
"Manage third counter party","Управление контрагентами третьего лица"
"EDRPOU","ЕГРПОУ"
"Name","Имя"
"Address (ru)","Адрес (рус.)"
"Max weight","Максимальный вес"
"Under","До"
"kg","кг"
"Invalid Warehouse.","Неверный склад"
"Delivery via Nova Poshta","Доставка Новой Почтой"
"Delivery to the address via Nova Poshta","Адресная доставка Новой Почтой"
"Delivery to the warehouse via Nova Poshta","Доставка до склада Новой Почты"
"UAH","грн"
"--Please Select--","Пожалуйста выберите из списка"
"Create Address to Address Novaposhta delivery","Создать ТТН адресной доставки Новой Почты"
"City that has been chosen by the customer","Город, который выбрал пользователь"
"Street that has been chosen by the customer","Улица, которую выбрал пользователь"
"Building number that has been chosen by the customer","Номер дома, выбранный пользователем"
"Flat number that has been chosen by the customer","Номер квартиры, который выбрал пользователь"
"Customer saw that price on checkout:","Пользователь видел такую цену на чекауте:"
"Recalculated price of delivery:","Ориентировочная пересчитанная цена доставки"
"Delivery price","Цена доставки"
"Recalculated day of delivery:","Ориентировочная пересчитанная дата доставки"
"Delivery date","Дата доставки"
"Chosen counterparty","Выбранный контрагент"
"Send to Novaposhta server the parcel parameters","Сделать запрос на создание ТТН, к серверу Новой Почты"
"Create Address to Warehouse Novaposhta delivery","Создать ТТН доставки на склад Новой Почты"
"Warehouse that has been chosen by the customer","Склад, который выбрал пользователь"
"Please select shipping type:","Пожалуйста выберите тип доставки"
"To the door","К двери (Адресная)"
"To the warehouse","До склада"
"Enter city","Введите город"
"Kyiv","Киев"
"Sender","Отправитель"
"Recipient","Получатель"
"Enter street","Введите улицу"
"Enter building number","Введите номер дома"
"Enter flat number","Введите квартиру (для многоквартирных домов)"
"Enter settlement","Введите населенный пункт"
"Enter warehouse number","Выберите склад из списка"
"Chose city first","Выберите город, а затем выберите склад"
"Address delivery","Адресна доставка"
"Warehouse delivery","Доставка до складу"
"Not specified","Не выбрано"
"Manage counterparty","Управление контрагентами"
"Nova Poshta is unable to calculate shipping to your city. You still can to make order with your cart and our manager will contact with you","Мы не можем рассчитать цену доставки в ваш город. Вы можете сделать заказ и наш консультант свяжется с вами"
"Select city then contact person","Выберите город, затем контактное лицо"
"Choose city","Выберите город"
"Choose Sender","Оберіть відправника"
"Choose contact person","Выберите контактное лицо"
"Select city","Выберие город из списка"
"Choose address of contact person","Выберите адрес контрагента"
"Chosen address of contact person","Выбранный адрес контрагента"
"Select address of contact person","Выберите адрес контактного лица"
" Sale product included"," Акционная цена включена в стоимость"
" Free"," Беcплатно"
"w2c","Склад-Адрес"
"c2c","Адрес-Адрес"
"c2w","Адрес-Склад"
"w2w","Склад-Склад"
"Novaposhta street","Улица"
"Novaposhta street num","Дом"
"Novaposhta flat num","Квартира"
"city","Город"
"city_id","Город"
"warehouse_id","Склад"
"street","Улица"
"building","Дом"
"flat","Квартира"
"updated_at","Обновлено в:"
"Choose warehouse","Выберите склад"
"NP City","Город (Новая Почта)"
"NP Warehouse","Склад (Новая Почта)"
"NP Street","Улица (Новая Почта)"
"Choose street","Выберите улицу"
"Shipping cost by carrier","Стоимость доставки за тарифами перевозчика"
"Novaposhta Shipping Visualisation(Experimental)","Эксперементальний визуализатор результатов упаковки"
"Preselected by the customer values:","Выбранные пользователем значения:"
"Data prediction from NovaPost:","Прогноз данных от Новой Почти:"
"Sender params:","Параметры отправителя:"
"Current Sender:","Текущий отправитель:"
"Choose contact person address","Выберите адрес контактного лица"
"building number","№ дома:"
"flat number","№ кв.:"
